"","x"
"482",2
"483",2
"484",2
"485",2
"486",2
"487",2
"488",2
"489",2
"490",2
"491",2
"492",2
"493",2
"494",2
"495",2
"496",2
"497",2
"498",2
"499",2
"500",2
"501",2
"502",2
"503",2
"504",2
"505",2
"506",2
"507",2
"508",2
"509",2
"510",2
"511",2
"512",2
"513",2
"514",2
"515",2
"516",2
"517",2
"518",2
"519",2
"520",2
"521",2
"522",2
"523",2
"524",2
"525",2
"526",2
"527",2
"528",2
"529",2
"530",2
"531",2
"532",2
"533",2
"534",2
"535",2
"536",2
"537",2
"538",2
"539",2
"540",2
"541",2
"542",2
"543",2
"544",2
"545",2
"546",2
"547",2
"548",2
"549",2
"550",2
"551",2
"552",1
"553",1
"554",1
"555",1
"556",1
"557",1
"558",1
"559",1
"560",1
"561",1
"562",1
"563",1
"564",1
"565",1
"566",1
"567",1
"568",1
"569",1
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",1
"577",1
"578",1
"579",1
"580",1
"581",1
"582",1
"583",1
"584",1
"585",1
"586",1
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",1
"596",2
"597",2
"598",2
"599",2
"600",2
"601",2
"602",1
"603",1
"604",1
"605",2
"606",2
"607",1
"608",1
"609",1
"610",1
"611",1
"612",2
"613",2
"614",2
"615",2
"616",2
"617",2
"618",2
"619",2
"620",2
"621",2
"622",2
"623",2
"624",2
"625",2
"626",2
"627",1
"628",1
"629",2
"630",2
"631",2
"632",2
"633",2
"634",2
"635",2
"636",2
"637",2
"638",2
"639",2
"640",2
"641",2
"642",2
"643",2
"644",2
"645",2
"646",2
"647",2
"648",2
"649",2
"650",2
"651",2
"652",2
"653",2
"654",2
"655",2
"656",1
"657",1
"658",1
"659",1
"660",2
"661",2
"662",1
"663",1
"664",1
"665",1
"666",1
"667",2
"668",1
"669",1
"670",1
"671",1
"672",1
"673",1
"674",1
"675",1
"676",1
"677",1
"678",1
"679",1
"680",2
"681",2
"682",2
"683",1
"684",1
"685",1
"686",2
"687",2
"688",2
"689",2
"690",2
"691",2
"692",2
"693",2
"694",2
"695",2
"696",2
"697",2
"698",2
"699",2
"700",2
"701",2
"702",2
"703",2
"704",2
"705",2
"706",2
"707",2
"708",2
"709",2
"710",2
"711",2
"712",2
"713",2
"714",2
"715",2
"716",2
"717",2
"718",2
"719",2
"720",2
"721",2
"722",2
"723",2
"724",2
"725",2
"726",2
"727",2
"728",2
"729",2
"730",2
"731",2
"732",2
"733",2
"734",2
"735",2
"736",2
"737",2
"738",2
"739",2
"740",2
"741",2
"742",2
"743",2
"744",2
"745",2
"746",2
"747",2
"748",2
"749",2
"750",2
"751",2
"752",2
"753",2
"754",2
"755",2
"756",2
"757",2
"758",2
"759",2
"760",2
"761",2
"762",2
"763",2
"764",1
"765",1
"766",2
"767",2
"768",1
"769",1
"770",1
"771",1
"772",2
"773",2
"774",2
"775",2
"776",2
"777",2
"778",2
"779",2
"780",2
"781",2
"782",1
"783",1
"784",1
"785",1
"786",1
"787",1
"788",1
"789",2
"790",2
"791",1
"792",1
"793",1
"794",1
"795",2
"796",2
"797",2
"798",2
"799",2
"800",2
"801",2
"802",2
"803",2
"804",2
"805",2
"806",2
"807",2
"808",2
"809",1
"810",1
"811",1
"812",1
"813",1
"814",1
"815",1
"816",1
"817",1
"818",1
"819",1
"820",1
"821",1
"822",1
"823",2
"824",2
"825",1
"826",1
"827",2
"828",2
"829",2
"830",2
"831",2
"832",2
"833",2
"834",2
"835",2
"836",2
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",2
"844",2
"845",2
"846",2
"847",2
"848",2
"849",2
"850",2
"851",2
"852",1
"853",1
"854",1
"855",1
"856",1
"857",2
"858",2
"859",2
"860",2
"861",2
"862",2
"863",2
"864",2
"865",2
"866",2
"867",1
"868",1
"869",1
"870",1
"871",1
"872",1
"873",1
"874",1
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",1
"882",1
"883",1
"884",1
"885",1
"886",1
"887",1
"888",1
"889",1
"890",1
"891",2
"892",2
"893",2
"894",2
"895",2
"896",2
"897",2
"898",2
"899",2
"900",2
"901",2
"902",2
"903",2
"904",1
"905",1
"906",1
"907",1
"908",1
"909",1
"910",1
"911",1
"912",1
"913",1
"914",1
"915",2
"916",2
"917",2
"918",2
"919",2
"920",2
"921",2
"922",2
"923",2
"924",2
"925",2
"926",2
"927",2
"928",2
"929",2
"930",2
"931",2
"932",1
"933",1
"934",2
"935",2
"936",2
"937",1
"938",1
"939",1
"940",1
"941",2
"942",2
"943",2
"944",2
"945",2
"946",1
"947",1
"948",1
"949",1
"950",1
"951",1
"952",1
"953",1
"954",1
"955",1
"956",1
"957",1
"958",1
"959",1
"960",1
"961",1
"962",1
"963",1
"964",1
"965",1
"966",1
"967",2
"968",2
"969",2
"970",2
"971",2
"972",1
"973",1
"974",1
"975",1
"976",1
"977",1
"978",1
"979",2
"980",2
"981",2
"982",2
"983",2
"984",2
"985",2
"986",2
"987",2
"988",2
"989",2
"990",2
"991",2
"992",2
"993",2
"994",1
"995",1
"996",1
"997",1
"998",1
"999",1
"1000",1
"1001",1
"1002",1
"1003",1
"1004",1
"1005",1
"1006",1
"1007",1
"1008",1
"1009",1
"1010",1
"1011",1
"1012",1
"1013",1
"1014",2
"1015",2
"1016",2
"1017",2
"1018",2
"1019",2
"1020",1
"1021",1
"1022",1
"1023",1
"1024",1
"1025",1
"1026",1
"1027",2
"1028",2
"1029",2
"1030",2
"1031",2
"1032",2
"1033",2
"1034",2
"1035",2
"1036",2
"1037",2
"1038",1
"1039",1
"1040",2
"1041",2
"1042",2
"1043",2
"1044",2
"1045",2
"1046",2
"1047",2
"1048",2
"1049",2
"1050",2
"1051",2
"1052",2
"1053",2
"1054",2
"1055",1
"1056",1
"1057",1
"1058",1
"1059",1
"1060",2
"1061",2
"1062",2
"1063",2
"1064",2
"1065",2
"1066",2
"1067",2
"1068",2
"1069",2
"1070",2
"1071",2
"1072",2
"1073",2
"1074",1
"1075",1
"1076",1
"1077",1
"1078",1
"1079",1
"1080",1
"1081",1
"1082",1
"1083",1
"1084",1
"1085",1
"1086",2
"1087",2
"1088",2
"1089",2
"1090",2
"1091",2
"1092",1
"1093",1
"1094",1
"1095",1
"1096",1
"1097",1
"1098",1
"1099",1
"1100",2
"1101",2
"1102",2
"1103",2
"1104",2
"1105",2
"1106",2
"1107",2
"1108",2
"1109",2
"1110",2
"1111",2
"1112",2
"1113",2
"1114",2
"1115",2
"1116",2
"1117",2
"1118",2
"1119",2
"1120",2
"1121",2
"1122",2
"1123",2
"1124",2
"1125",2
"1126",2
"1127",2
"1128",2
"1129",2
"1130",2
"1131",2
"1132",2
"1133",1
"1134",1
"1135",1
"1136",1
"1137",2
"1138",2
"1139",2
"1140",2
"1141",1
"1142",1
"1143",1
"1144",1
"1145",2
"1146",2
"1147",2
"1148",2
"1149",2
"1150",2
"1151",2
"1152",2
"1153",2
"1154",2
"1155",2
"1156",2
"1157",2
"1158",2
"1159",2
"1160",2
"1161",2
"1162",2
"1163",2
"1164",2
"1165",2
"1166",2
"1167",2
"1168",2
"1169",2
"1170",2
"1171",2
"1172",2
"1173",2
"1174",2
"1175",2
"1176",2
"1177",2
"1178",2
"1179",2
"1180",2
"1181",2
"1182",1
"1183",1
"1184",1
"1185",1
"1186",1
"1187",1
"1188",1
"1189",1
"1190",1
"1191",1
"1192",1
"1193",1
"1194",1
"1195",1
"1196",1
"1197",1
"1198",1
"1199",1
"1200",2
"1201",2
"1202",2
"1203",2
"1204",2
"1205",2
"1206",2
"1207",2
"1208",2
"1209",2
"1210",2
"1211",2
"1212",2
"1213",2
"1214",2
"1215",2
"1216",2
"1217",2
"1218",2
"1219",2
"1220",2
"1221",2
"1222",2
"1223",2
"1224",2
"1225",2
"1226",1
"1227",1
"1228",1
"1229",1
"1230",1
"1231",1
"1232",1
"1233",2
"1234",2
"1235",2
"1236",1
"1237",1
"1238",1
"1239",1
"1240",1
"1241",1
"1242",1
"1243",1
"1244",1
"1245",1
"1246",1
"1247",1
"1248",1
"1249",2
"1250",2
"1251",1
"1252",1
"1253",1
"1254",1
"1255",1
"1256",1
"1257",1
"1258",1
"1259",1
"1260",1
"1261",1
"1262",1
"1263",1
"1264",1
"1265",1
"1266",1
"1267",1
"1268",1
"1269",2
"1270",2
"1271",2
"1272",2
"1273",2
"1274",2
"1275",2
"1276",2
"1277",2
"1278",2
"1279",2
"1280",2
"1281",2
"1282",2
"1283",2
"1284",2
"1285",2
"1286",2
"1287",2
"1288",2
"1289",2
"1290",2
"1291",2
"1292",1
"1293",1
"1294",1
"1295",1
"1296",1
"1297",1
"1298",1
"1299",2
"1300",2
"1301",2
"1302",2
"1303",2
"1304",1
"1305",1
"1306",1
"1307",2
"1308",2
"1309",2
"1310",2
"1311",2
"1312",2
"1313",2
"1314",2
"1315",2
"1316",2
"1317",1
"1318",1
"1319",1
"1320",1
"1321",2
"1322",2
"1323",2
"1324",2
"1325",2
"1326",2
"1327",1
"1328",1
"1329",1
"1330",1
"1331",2
"1332",2
"1333",2
"1334",2
"1335",2
"1336",2
"1337",2
"1338",2
"1339",2
"1340",2
"1341",2
"1342",2
"1343",2
"1344",2
"1345",2
"1346",2
"1347",2
"1348",2
"1349",2
"1350",2
"1351",2
"1352",2
"1353",2
"1354",2
"1355",2
"1356",2
"1357",2
"1358",2
"1359",2
"1360",2
"1361",2
"1362",2
"1363",2
"1364",2
"1365",2
"1366",2
"1367",2
"1368",2
"1369",2
"1370",2
"1371",2
"1372",2
"1373",2
"1374",2
"1375",2
"1376",2
"1377",2
"1378",2
"1379",2
"1380",2
"1381",2
"1382",2
"1383",2
"1384",2
"1385",2
"1386",2
"1387",2
"1388",2
"1389",2
"1390",2
"1391",2
"1392",2
"1393",2
"1394",2
"1395",2
"1396",2
"1397",2
"1398",2
"1399",2
"1400",2
"1401",2
"1402",2
"1403",2
"1404",2
"1405",2
"1406",2
"1407",2
"1408",2
"1409",2
"1410",2
"1411",2
"1412",2
"1413",2
"1414",2
"1415",2
"1416",2
"1417",2
"1418",2
"1419",2
"1420",2
"1421",2
"1422",2
"1423",2
"1424",2
"1425",2
"1426",2
"1427",2
"1428",2
"1429",2
"1430",2
"1431",2
"1432",2
"1433",2
"1434",1
"1435",1
"1436",1
"1437",2
"1438",2
"1439",2
"1440",2
"1441",2
"1442",1
"1443",1
"1444",1
"1445",1
"1446",1
"1447",1
"1448",1
"1449",2
"1450",2
"1451",2
"1452",2
"1453",2
"1454",2
"1455",2
"1456",2
"1457",2
"1458",2
"1459",2
"1460",2
"1461",2
"1462",2
"1463",2
"1464",2
"1465",2
"1466",2
"1467",2
"1468",2
"1469",2
"1470",2
"1471",2
"1472",1
"1473",1
"1474",1
"1475",1
"1476",1
"1477",1
"1478",1
"1479",1
"1480",1
"1481",1
"1482",2
"1483",2
"1484",1
"1485",1
"1486",1
"1487",1
"1488",1
"1489",1
"1490",1
"1491",1
"1492",1
"1493",1
"1494",1
"1495",1
"1496",1
"1497",1
"1498",1
"1499",1
"1500",1
"1501",1
"1502",1
"1503",1
"1504",1
"1505",1
"1506",1
"1507",1
"1508",1
"1509",1
"1510",1
"1511",1
"1512",1
"1513",1
"1514",1
"1515",2
"1516",2
"1517",2
"1518",2
"1519",2
"1520",2
"1521",2
"1522",2
"1523",2
"1524",2
"1525",2
"1526",2
"1527",2
"1528",2
"1529",1
"1530",1
"1531",1
"1532",1
"1533",1
"1534",1
"1535",2
"1536",2
"1537",2
"1538",2
"1539",2
"1540",2
"1541",1
"1542",1
"1543",2
"1544",2
"1545",2
"1546",2
"1547",2
"1548",2
"1549",2
"1550",2
"1551",1
"1552",1
"1553",1
"1554",2
"1555",2
"1556",2
"1557",2
"1558",2
"1559",2
"1560",2
"1561",2
"1562",2
"1563",1
"1564",1
"1565",1
"1566",1
"1567",2
"1568",2
"1569",2
"1570",2
"1571",2
"1572",2
"1573",2
"1574",2
"1575",2
"1576",2
"1577",2
"1578",2
"1579",2
"1580",2
"1581",2
"1582",2
"1583",2
"1584",2
"1585",2
"1586",2
"1587",2
"1588",2
"1589",2
"1590",2
"1591",1
"1592",1
"1593",2
"1594",2
"1595",2
"1596",2
"1597",2
"1598",2
"1599",2
"1600",2
"1601",2
"1602",2
"1603",2
"1604",2
"1605",2
"1606",2
"1607",1
"1608",1
"1609",1
"1610",1
"1611",1
"1612",1
"1613",1
"1614",1
"1615",1
"1616",1
"1617",1
"1618",1
"1619",1
"1620",2
"1621",2
"1622",2
"1623",2
"1624",2
"1625",2
"1626",2
"1627",2
"1628",2
"1629",2
"1630",2
"1631",1
"1632",1
"1633",2
"1634",2
"1635",2
"1636",2
"1637",2
"1638",2
"1639",2
"1640",2
"1641",2
"1642",2
"1643",2
"1644",2
"1645",2
"1646",2
"1647",2
"1648",2
"1649",2
"1650",2
"1651",2
"1652",2
"1653",2
"1654",2
"1655",2
"1656",2
"1657",1
"1658",1
"1659",1
"1660",1
"1661",1
"1662",1
"1663",1
"1664",2
"1665",2
"1666",1
"1667",1
"1668",1
"1669",1
"1670",1
"1671",2
"1672",2
"1673",2
"1674",2
"1675",2
"1676",1
"1677",1
"1678",1
"1679",1
"1680",1
"1681",1
"1682",1
"1683",1
"1684",1
"1685",1
"1686",1
"1687",1
"1688",1
"1689",1
"1690",1
"1691",1
"1692",1
"1693",1
"1694",1
"1695",1
"1696",1
"1697",1
"1698",1
"1699",1
"1700",1
"1701",1
"1702",1
"1703",1
"1704",1
"1705",1
"1706",1
"1707",1
"1708",1
"1709",1
"1710",1
"1711",1
"1712",1
"1713",1
"1714",1
"1715",1
"1716",1
"1717",1
"1718",1
"1719",1
"1720",1
"1721",1
"1722",1
"1723",1
"1724",1
"1725",1
"1726",1
"1727",1
"1728",1
"1729",1
"1730",1
"1731",1
"1732",1
"1733",1
"1734",1
"1735",1
"1736",2
"1737",2
"1738",2
"1739",2
"1740",2
"1741",2
"1742",2
"1743",2
"1744",2
"1745",2
"1746",1
"1747",1
"1748",1
"1749",2
"1750",2
"1751",2
"1752",2
"1753",2
"1754",2
"1755",2
"1756",2
"1757",2
"1758",2
"1759",2
"1760",2
"1761",2
"1762",2
"1763",2
"1764",2
"1765",2
"1766",2
"1767",2
"1768",2
"1769",2
"1770",2
"1771",2
"1772",2
"1773",2
"1774",2
"1775",2
"1776",2
"1777",2
"1778",2
"1779",2
"1780",2
"1781",2
"1782",2
"1783",2
"1784",2
"1785",2
"1786",2
"1787",2
"1788",2
"1789",2
"1790",2
"1791",2
"1792",2
"1793",2
"1794",2
"1795",2
"1796",2
"1797",2
"1798",2
"1799",2
"1800",1
"1801",1
"1802",1
"1803",1
"1804",1
"1805",2
"1806",2
"1807",2
"1808",2
"1809",2
"1810",2
"1811",2
"1812",1
"1813",1
"1814",1
"1815",1
"1816",1
"1817",1
"1818",1
"1819",2
"1820",2
"1821",2
"1822",2
"1823",2
"1824",2
"1825",2
"1826",2
"1827",2
"1828",1
"1829",1
"1830",2
"1831",2
"1832",2
"1833",2
"1834",2
"1835",2
"1836",2
"1837",2
"1838",2
"1839",2
"1840",2
"1841",2
"1842",2
"1843",2
"1844",2
"1845",2
"1846",2
"1847",2
"1848",2
"1849",1
"1850",1
"1851",1
"1852",1
"1853",1
"1854",1
"1855",1
"1856",1
"1857",1
"1858",1
"1859",1
"1860",1
"1861",1
"1862",1
"1863",1
"1864",1
"1865",1
"1866",1
"1867",1
"1868",1
"1869",1
"1870",1
"1871",1
"1872",1
"1873",1
"1874",1
"1875",1
"1876",1
"1877",1
"1878",1
"1879",1
"1880",1
"1881",1
"1882",2
"1883",2
"1884",2
"1885",2
"1886",1
"1887",1
"1888",1
"1889",2
"1890",2
"1891",2
"1892",2
"1893",2
"1894",2
"1895",2
"1896",2
"1897",2
"1898",2
"1899",2
"1900",2
"1901",2
"1902",2
"1903",2
"1904",2
"1905",2
"1906",2
"1907",2
"1908",2
"1909",2
"1910",2
"1911",2
"1912",2
"1913",2
"1914",2
"1915",2
"1916",2
"1917",2
"1918",2
"1919",2
"1920",2
"1921",2
"1922",2
"1923",2
"1924",2
"1925",2
"1926",2
"1927",2
"1928",2
"1929",2
"1930",2
"1931",2
"1932",2
"1933",2
"1934",2
"1935",2
"1936",2
"1937",2
"1938",2
"1939",2
"1940",2
"1941",2
"1942",1
"1943",1
"1944",2
"1945",2
"1946",1
"1947",1
"1948",1
"1949",1
"1950",1
"1951",2
"1952",2
"1953",2
"1954",2
"1955",2
"1956",2
"1957",2
"1958",2
"1959",2
"1960",2
"1961",1
"1962",1
"1963",1
"1964",1
"1965",2
"1966",2
"1967",2
"1968",2
"1969",1
"1970",1
"1971",1
"1972",1
"1973",1
"1974",2
"1975",2
"1976",2
"1977",2
"1978",2
"1979",2
"1980",2
"1981",2
"1982",2
"1983",2
"1984",2
"1985",2
"1986",2
"1987",2
"1988",2
"1989",2
"1990",2
"1991",2
"1992",2
"1993",2
"1994",2
"1995",2
"1996",2
"1997",2
"1998",2
"1999",2
"2000",2
"2001",2
"2002",2
"2003",1
"2004",1
"2005",1
"2006",1
"2007",1
"2008",1
"2009",1
"2010",1
"2011",1
"2012",2
"2013",2
"2014",2
"2015",2
"2016",2
"2017",2
"2018",2
"2019",2
"2020",2
"2021",2
"2022",2
"2023",2
"2024",2
"2025",1
"2026",1
"2027",1
"2028",1
"2029",1
"2030",2
"2031",2
"2032",2
"2033",2
"2034",2
"2035",2
"2036",2
"2037",2
"2038",2
"2039",2
"2040",2
"2041",2
"2042",2
"2043",2
"2044",2
"2045",2
"2046",2
"2047",2
"2048",2
"2049",2
"2050",2
"2051",2
"2052",2
"2053",2
"2054",2
"2055",2
"2056",2
"2057",2
"2058",2
"2059",2
"2060",2
"2061",2
"2062",2
"2063",2
"2064",2
"2065",2
"2066",2
"2067",1
"2068",1
"2069",1
"2070",2
"2071",2
"2072",2
"2073",2
"2074",2
"2075",2
"2076",1
"2077",1
"2078",2
"2079",2
"2080",2
"2081",2
"2082",2
"2083",2
"2084",2
"2085",2
"2086",2
"2087",2
"2088",2
"2089",2
"2090",2
"2091",2
"2092",2
"2093",2
"2094",2
"2095",2
"2096",2
"2097",2
"2098",2
"2099",2
"2100",2
"2101",2
"2102",2
"2103",2
"2104",1
"2105",1
"2106",1
"2107",1
"2108",1
"2109",1
"2110",1
"2111",1
"2112",1
"2113",2
"2114",2
"2115",2
"2116",2
"2117",2
"2118",2
"2119",2
"2120",2
"2121",2
"2122",2
"2123",2
"2124",1
"2125",1
"2126",1
"2127",1
"2128",1
"2129",1
"2130",1
"2131",1
"2132",1
"2133",1
"2134",2
"2135",2
"2136",2
"2137",2
"2138",1
"2139",1
"2140",1
"2141",1
"2142",1
"2143",1
"2144",1
"2145",1
"2146",1
"2147",1
"2148",1
"2149",1
"2150",1
"2151",1
"2152",1
"2153",1
"2154",1
"2155",1
"2156",1
"2157",1
"2158",1
"2159",2
"2160",2
"2161",2
"2162",2
"2163",2
"2164",2
"2165",2
"2166",2
"2167",1
"2168",1
"2169",1
"2170",1
"2171",1
"2172",1
"2173",2
"2174",2
"2175",2
"2176",2
"2177",2
"2178",2
"2179",2
"2180",2
"2181",1
"2182",1
"2183",2
"2184",2
"2185",2
"2186",2
"2187",2
"2188",2
"2189",2
"2190",2
"2191",2
"2192",2
"2193",2
"2194",1
"2195",1
"2196",1
"2197",1
"2198",2
"2199",2
"2200",2
"2201",2
"2202",2
"2203",2
"2204",2
"2205",2
"2206",2
"2207",2
"2208",2
"2209",2
"2210",2
"2211",2
"2212",2
"2213",2
"2214",2
"2215",2
"2216",2
"2217",2
"2218",2
"2219",2
"2220",2
"2221",1
"2222",1
"2223",1
"2224",1
"2225",1
"2226",1
"2227",1
"2228",1
"2229",1
"2230",1
"2231",1
"2232",1
"2233",1
"2234",1
"2235",1
"2236",2
"2237",2
"2238",2
"2239",2
"2240",2
"2241",2
"2242",2
"2243",2
"2244",2
"2245",2
"2246",2
"2247",2
"2248",2
"2249",2
"2250",2
"2251",2
"2252",2
"2253",2
"2254",2
"2255",2
"2256",2
"2257",2
"2258",2
"2259",2
"2260",2
"2261",2
"2262",1
"2263",1
"2264",1
"2265",1
"2266",1
"2267",1
"2268",1
"2269",1
"2270",1
"2271",1
"2272",1
"2273",1
"2274",1
"2275",1
"2276",1
"2277",1
"2278",1
"2279",1
"2280",1
"2281",2
"2282",2
"2283",2
"2284",2
"2285",2
"2286",2
"2287",2
"2288",2
"2289",2
"2290",2
"2291",2
"2292",2
"2293",2
"2294",2
"2295",2
"2296",2
"2297",2
"2298",2
"2299",2
"2300",1
"2301",1
"2302",1
"2303",1
"2304",1
"2305",1
"2306",1
"2307",1
"2308",1
"2309",1
"2310",1
"2311",1
"2312",1
"2313",1
"2314",1
"2315",1
"2316",1
"2317",1
"2318",1
"2319",1
"2320",1
"2321",2
"2322",2
"2323",2
"2324",2
"2325",2
"2326",2
"2327",2
"2328",2
"2329",2
"2330",2
"2331",1
"2332",1
"2333",1
"2334",1
"2335",1
"2336",2
"2337",2
"2338",2
"2339",2
"2340",1
"2341",1
"2342",1
"2343",1
"2344",1
"2345",1
"2346",2
"2347",2
"2348",2
"2349",2
"2350",2
"2351",2
"2352",2
"2353",2
"2354",2
"2355",2
"2356",1
"2357",1
"2358",1
"2359",1
"2360",1
"2361",1
"2362",1
"2363",1
"2364",1
"2365",1
"2366",1
"2367",1
"2368",2
"2369",2
"2370",2
"2371",2
"2372",2
"2373",2
"2374",2
"2375",2
"2376",2
"2377",2
"2378",2
"2379",2
"2380",2
"2381",2
"2382",2
"2383",2
"2384",2
"2385",2
"2386",2
"2387",2
"2388",2
"2389",2
"2390",1
"2391",1
"2392",1
"2393",2
"2394",2
"2395",2
"2396",2
"2397",2
"2398",2
"2399",2
"2400",2
"2401",2
"2402",2
"2403",2
"2404",2
"2405",2
"2406",2
"2407",2
"2408",2
"2409",2
"2410",2
"2411",2
"2412",2
"2413",2
"2414",2
"2415",2
"2416",2
"2417",2
"2418",2
"2419",2
"2420",2
"2421",2
"2422",2
"2423",2
"2424",2
"2425",1
"2426",2
"2427",2
"2428",2
"2429",2
"2430",2
"2431",2
"2432",2
"2433",2
"2434",1
"2435",1
"2436",1
"2437",1
"2438",1
"2439",1
"2440",1
"2441",1
"2442",1
"2443",1
"2444",1
"2445",1
"2446",2
"2447",2
"2448",2
"2449",2
"2450",1
"2451",1
"2452",1
"2453",1
"2454",1
"2455",1
"2456",1
"2457",1
"2458",1
"2459",1
"2460",1
"2461",1
"2462",1
"2463",2
"2464",1
"2465",1
"2466",1
"2467",1
"2468",1
"2469",1
"2470",1
"2471",1
"2472",1
"2473",1
"2474",1
"2475",1
"2476",1
"2477",1
"2478",1
"2479",1
"2480",2
"2481",2
"2482",2
"2483",1
"2484",1
"2485",1
"2486",1
"2487",1
"2488",1
"2489",1
"2490",1
"2491",1
"2492",1
"2493",1
"2494",2
"2495",2
"2496",2
"2497",2
"2498",2
